date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:05:13	24/24	---M--	200	added ('OK')	text/plain	etag:%224a63e163-18-41c7919f5c3c0%22	http://tldp.org/robots.txt		(from )
04:05:14	11346/11346	---M--	200	added ('OK')	text/html	etag:%224a914a97-2c52-578dd78adb48f%22	http://tldp.org/	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/index.html	(from )
04:05:14	3638/3638	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%224ab9ef07-e36-429b691570e16%22	http://tldp.org/favicon.ico	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/favicon.ico	(from http://tldp.org/)
04:05:15	9154/9154	---M--	200	added ('OK')	image/gif	etag:%224ab9ef08-23c2-429b6935443de%22	http://tldp.org/animated_favicon1.gif	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/animated_favicon1.gif	(from http://tldp.org/)
04:05:18	41588/41588	---M--	200	added ('OK')	text/html	etag:%224a9148c3-a274-4c496e723d1fd%22	http://tldp.org/links/nenglish.html	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/links/nenglish.html	(from http://tldp.org/)
04:05:18	24065/24065	---M--	200	added ('OK')	text/html	etag:%224a63e16f-5e01-4c43ebb31ad76%22	http://tldp.org/vlist.html	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/vlist.html	(from http://tldp.org/)
04:05:20	64766/64766	---M--	200	added ('OK')	text/html	etag:%224a9fad57-fcfe-4f3fb1ab6ca86%22	http://tldp.org/guides.html	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/guides.html	(from http://tldp.org/)
04:05:21	10186/10186	---M--	200	added ('OK')	text/html	etag:%224a9148c4-27ca-42a22fa6d538f%22	http://tldp.org/links/p_books.html	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/links/p_books.html	(from http://tldp.org/)
04:05:21	7706/7706	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2021:05:19%20GMT	http://tldp.org/pub/Linux/docs/HOWTO/translations/	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/pub/Linux/docs/HOWTO/translations/index.html	(from http://tldp.org/)
04:05:21	3623/3623	---M--	200	added ('OK')	image/gif	etag:%224a6ae956-e27-3a0567afa7d40%22	http://tldp.org/images/ldp.gif	/home/debian/Documents/learning.praveengorla/The_Linux_Documentation_Project/tldp.org/images/ldp.gif	(from http://tldp.org/)
